name,description,0,1,2,3,4,5,lng,lat,region,placeid,region2,region2_en,pic0,pic1,pic2,town
永鎮海濱公園,如果想在炎夏時節玩沙踏浪，戲水消暑，或是悠閒舒適地欣賞太平洋與龜山島，來到永鎮海濱公園可以一次滿足！從永鎮廟旁的坡道上行約三、四分鐘即可抵達公園，遼闊的海景風光和綿延沙灘是這裡吸引眾多大小朋友的主要特色，並設有棧道及觀景涼亭可以遠眺海上龜山島，也是夏至觀賞「龜山朝日」的絕佳景點，還有難得的龜首含日景色，許多攝影迷皆前來朝聖拍攝！園區的海岸型植物有防風定沙的功用，夏日時節往往蔓生成一片綠色沙丘。而因位於蘭陽溪與竹安溪口之間，得天獨厚成為鳥類棲息的處所，因此來到這裡，不僅是戲水觀浪，眺望龜山美景，還有繁盛的植物生態和鳥類聚落，讓人可以親身感受大自然的脈動。而除了濱海遊憩和自然生態，這裡也蘊含著在地人文風情，值得一探究竟。一旁的永鎮廟歷史悠久，如今仍香火鼎盛，廟中主祀開漳聖王，每年農曆2月15日開漳聖王祭日，有過火儀式等民俗活動，吸引眾多香客前來參拜，盛況非凡。另外，因為永鎮屬沙岸地形，早期的漁民會採取「牽罟」的古老漁撈方式，用漁舟將漁網載至海上，眾人在沙灘合力將漁網拉上岸，至今偶爾還可看見這種漁作，近年更有牽罟體驗活動，讓遊客彷彿回到純樸的漁村生活。,0,0,0,0,1,0,121.81562,24.7753,宜蘭縣,616,宜蘭,Yilan,,,,壯圍鄉
大坑觀景台,看海放空人生 無敵海景盡收眼底大坑觀景台原本是管制海防的軍事哨所，隨時空移轉，海防腳色逐漸淡化而荒廢，經管理處整頓招商，如今蛻變成坐擁全視野海景的景觀咖啡館，也是許多旅遊達人的私房看海秘境。來到這裡，放眼望去即是一棟白色建築加上絕美海景，怎麼拍怎麼好看，而白天和晚上更有不同風味，常為人推薦是宜蘭必去景點之一！咖啡館與海為鄰，和龜山島相望，遼闊的太平洋湛藍海面成了最美麗的窗景，館內溫馨明亮，以純淨白色和藍色為主色調，頗有異國浪漫風情，來杯現沖咖啡和道地的農家餐，享受海天一色的美景，很適合放空淨化腦袋！館內還貼心提供插座電源及無線網路，也歡迎帶著家中毛小孩一起玩樂，看海一整天，放鬆身心享受悠閒時光！,0,0,0,0,1,0,121.83208,24.85644,宜蘭縣,617,宜蘭,Yilan,,,,頭城鎮
蜜月灣,大溪以眉月形狀的迤邐海灣、海水湛藍清澈聞名，又常見倩影雙雙，在此流連忘返，而有「蜜月灣」之美稱，或漫步在細柔的沙灘上，或撿拾鵝卵石打水漂，或找尋滿地奔馳的魔鬼蟹，浪漫氣息洋溢。 蜜月灣南北兩側分佈著礁岩，僅中間少部分為細軟沙灘，除了風景秀麗，可供戲水賞景外，由於海灣遼闊，且離海岸數百公尺的海底地形起伏很大，海浪常激起2、3公尺高，波濤洶湧，更是水上活動及衝浪聖地，每年吸引不少極限挑戰者來此參加全國性衝浪比賽。 自明山寺旁登山口步行約30分鐘可抵達附近一處高441公尺的鶯石尖，登高後可眺望遠方龜山島、俯瞰壯麗海灣，視野遼闊且景緻優美，是賞景的另一種選擇。,0,0,0,0,1,0,121.88469,24.93556,宜蘭縣,630,宜蘭,Yilan,,,,頭城鎮
外澳服務區,炎炎夏日，想來趟消暑的沙灘戲水行，不妨來到外澳服務區逛逛，這棟看起來像飛行傘，也像一艘大船的鮮黃色建築是由名建築師姚仁喜設計，極富現代感的外觀具有多重意象，歡迎發揮你的想像力，親身體會這棟建築的特別。 黃色外牆襯著藍天大海，正對著龜山島，獨擁一片濕地沙灘，還有蔚藍的海堤步道，每當晨昏陽光落在海面，遊客嬉戲的剪影映入眼簾，與龜山朝日、烏龜戴帽的美景相映成趣。除了有絕美風景外，外澳沙灘也是衝浪客聖地，沙灘旁有店家提供衝浪教學，新手也可享受在浪花奔馳的快感，還有香蕉船等刺激的水上活動；附近山頂上則有飛行傘基地，坐上飛行傘升上天空後可俯視整個外澳的海岸線，美麗又壯觀，這裡豐富的陸海空三域活動吸引許多遊客來冒險挑戰。 服務區內貼心設有免費的沖腳區以及付費的淋浴區，室內9號咖啡館更提供咖啡、餐飲小點和借問站服務，大片落地窗可遠望太平洋濱海美景及龜嶼佳景，號稱是離海邊最近的咖啡館，旅人們在戲水嬉遊後可以到此飽食賞景，休憩放鬆身心。,0,0,0,0,1,0,121.8415,24.87804,宜蘭縣,631,宜蘭,Yilan,https://www.necoast-nsa.gov.tw/FileArtPic.ashx?id=770&w=1280&h=960,,,頭城鎮
烏石港,喜愛衝浪挑戰自我，享受海上奔馳快感，或想要大啖海鮮，一嚐現撈的新鮮滋味？來一趟烏石港吧！ 「烏石」一稱源自於港內的黑色巨大礁石，這個位於頭城小鎮的漁港除了傳統漁業功能外，也深具歷史文化意義，它曾是蘭陽第一大港，頭城的重要門戶，許多商賈及各類民生物資皆由此出入，「石港春帆」即是形容當時商船雲集，以及來往船隻絡繹不絕的盛況。後來在1878年的一次洪水氾濫，大量泥沙的淤積，加上1883年一艘美國大船在此觸礁擱淺，烏石港從此失去功能，逐漸沒落，也影響了當時頭城的繁榮興盛。 而1991年重新建港後，烏石港已搖身一變成為如今許多人非常喜愛的觀光休閒漁港，舊有的烏石港遺址則規劃成保育溼地，港內另設有觀光魚市「烏石漁港直銷中心」及遊艇港，一邊品嚐美味海鮮，一邊觀賞港口船舶美景，海味十足！ 烏石港除了擄獲不少饕客的心，更是衝浪客的天堂！平坦寬廣的沙灘和廣闊的衝浪區域規劃，每當假日總見海上高手雲集，追逐浪花穿梭其中，而沙灘上的簡易排球場也不乏大小朋友嬉鬧歡樂，沙質細軟，玩起沙灘排球來想當安全舒暢！ 建議此行可同遊周邊的遊客中心，以及知名景點-蘭陽博物館，在這趟烏石之旅中親近海洋、品嘗美食，同時又能認識蘭陽人文之美！,0,0,0,0,1,0,121.83559,24.87119,宜蘭縣,632,宜蘭,Yilan,,,,頭城鎮
竹安溪口,竹安溪口溼地面積遼闊，棲地環境包括了水田、魚塭及淡水沼澤，也因此這裡的養殖漁業盛行，主要以九孔、鰻魚及草蝦為主。而寬闊多樣又幽靜的濕地環境，加上潮汐帶來的大量魚蝦，讓這裡也成為鳥類隱密的棲息地，在秋冬時分候鳥南遷之時，各式各類、成千上萬的水鳥在此過境落腳，或渡冬作客，你可以看到一隻隻的水鳥漫步覓食的優雅模樣，以及水面倒映層層山巒的美景，是賞鳥觀景的私房景點，只是近年生態系被改變，鳥況不像從前繁盛，也不禁令人思考愛惜大自然的重要。 而竹安溪口的海濱沙地除了可賞鳥賞景外，還可見到宜蘭傳統的民俗活動－牽罟。所謂牽罟是當魚汛時，漁民們用竹筏牽著網罟，繞著海岸將魚群收到網內，然後由岸邊的人合力拉繩將漁貨拉上岸，而參加牽罟的人都能分到漁貨。 另外這裡也是欣賞日出的好地點，清晨時分太陽升起，暖黃陽光映射河面，許多攝影迷特地來此捕捉這樣的寧靜之美。,0,0,0,0,1,0,121.82604,24.84136,宜蘭縣,633,宜蘭,Yilan,,,,頭城鎮
頭城農場,如果對平日繁忙的都市生活感到疲憊，推薦來頭城農場接受大自然熱情的款待！距離北部都會區不過2小時的車程，就能享受純樸的鄉村時光，回憶充滿田園清新的兒時野趣。 頭城農場倚山面海、占地百頃，平溪、桃子林溪以及當地人俗稱的「大溪」等三條溪水潺潺流過農場山間，加上複雜的林相、遍布山頭的桂竹和廣植山坡的果園樹林，造就這裡得天獨厚的自然景觀及豐富動植物生態，更有飼養火雞、兔子和雞等的農村動物區和水稻體驗區，是一座戶外自然教室，更是天然的遊樂場，大小朋友可在此體驗一日農夫，享受親手採果、剷筍、摸蜆、捉蝦和戲水樂趣，還有乘竹筏、觀日出和賞星斗的休閒活動，彷彿置身農村生活般的簡樸快樂，遠離塵囂煩惱。 農場也規劃許多套裝行程，包含DIY手作農特產品和葉拓T恤、跟著導覽阿伯尋訪知性的農村人文生態、品嘗在地美食饗宴飽餐一頓，相當適合帶著小朋友來這體驗農村生活、親近大自然，也建議可順訪藏酒酒莊，在美酒之下沉醉於靜謐的山林秘境。,0,1,0,0,0,0,121.84946,24.90714,宜蘭縣,634,宜蘭,Yilan,,,,頭城鎮
宜蘭濱海自行車道,若想欣賞橫跨五結、壯圍和頭城小鎮的濱海風光，不妨踏上單車，沿著自行車道慢騎河海之間，用不一樣的方式體驗蘭陽之美。 闊葉樹林和林投樹間夾道而成的壯圍濱海自行車道，全長15公里，放眼望去皆是蓊鬱茂盛的林木，十分幽靜，車道兩旁都有許多岔路，右邊岔路出去是壯圍鄉沿岸的海邊，左邊岔路則是通往壯圍鄉聚落，偶有碉堡出現，增添途中不少樂趣。沿途有遠方的龜山島一路伴隨，自然景觀絕美開闊，令人身心舒暢，整條自行車道會遇上兩處景觀涼亭，供單車騎士休憩及觀賞保安林一帶的海岸風光，眺望遼闊沙灘及湛藍大海，還有不絕於耳的浪濤聲與陣陣海風，好似一幅靜謐恬適的海濱風情畫。 周遭景點還有可以玩沙戲水、拍攝龜山朝日的永鎮海濱公園，以及位於蘭陽溪口的東港榕樹公園，在榕樹遮蔭及海風吹拂之下，舒適宜人。找個天氣晴朗的好日子規劃一趟鐵馬輕旅行，來和龜山島、太平洋約會，感受這條自行車道沿途的好風景！ 【小提醒】 因單車道或是林間小路兩旁皆是茂盛林木，會有較多小飛蚊，建議可穿著長袖長褲或上路前擦個防蚊液喔！沿途皆有公廁供遊客使用，位置可見濱海自行車道地圖。,0,0,0,0,0,0,121.82818,24.71743,宜蘭縣,635,宜蘭,Yilan,,,,壯圍鄉
東港榕樹公園,在壯圍小鎮的東港村出海口有座可以乘涼放空的榕樹公園，你可以在老樹間懸掛的吊床上休憩放鬆，或在枝枒蔓生的林蔭大道踩踏光影，悠閒漫步，享受靜謐時光。東港榕樹公園位於濱海自行車道的南端出口，是自行車道路線上的休憩景點之一，因茂盛的樹枝交織成濃蔭蔽日的自然奇景而得名，也因此成為單車騎士及遊客夏日乘涼賞景的中繼點。這裡最特別的「漁網吊床」是在地老漁民及社區居民以漁網編織而成，來到公園一定要試試在吊床上放空的快活，才算是不虛此行。群樹下的大眾爺廟也是當地居民休憩談天的地方，走出榕樹公園，可見昔日的簡易碼頭，現今仍有漁船停靠，雖然沒有過去的捕魚盛況，但仍保留著濃厚的漁村味道及純樸風情。海濱遊憩區、榕樹公園以及附近的蘭陽溪口賞鳥區皆是永鎮值得推薦的景點，可沿著濱海公路而行，以單車漫遊穿梭最為樂活逍遙，還可欣賞公園所在的傳統廍後社區，仍保有早期臺灣鄉下的老房子面貌，懷舊風味十足。,0,0,0,0,1,0,121.82699,24.7172,宜蘭縣,636,宜蘭,Yilan,,,,壯圍鄉
五十二甲賞鳥區,為何稱為五十二甲？相傳是因這裡昔日開墾的土地面積有52甲而得名！五十二甲溼地早期原為冬山河舊河道，地勢低窪因而常年積水，形成大片草澤，擁有相當良好的水田環境，也因此自成特殊且豐富的濕地生態，是鳥類的棲息天堂，每年冬天吸引大批候鳥前來過冬覓食。賞鳥時機為每年十月到十二月及春天四月，除了冬候鳥外，常可見綠頭鴨、琵嘴鴨、蒼鷺等鳥類在此展翅、落地的身影。五十二甲賞鳥區歷年共紀錄了百種以上鳥類，而特殊的鳥種也不少，如灰雁、白額雁、羅文鴨、磯雁、角鵬鵬、黑頸鵬鵬等，是賞鳥迷們不可錯過的聖地之一！ 除了賞鳥，近年這裡也成了夏季賞花秘境，因過去常淹水而造成土堤崩壞，農民便栽種了數百株穗花棋盤腳護堤，當花季來臨，夜間盛開的穗花棋盤腳有如樹上煙火一般，繽紛奪目，且越夜越美麗，這般夏夜奇景是許多旅人的最愛。五十二甲溼地之美，四季皆宜，一年裡隨時都可安排一趟蘭陽單車輕旅行，享受田園濕地風光，夏季可一睹「一夜美人」－穗花棋盤腳帶來的煙花秀，秋冬之際則可騎著單車沿岸觀賞秋季稻田風光和自然生態之美，尤其更不要錯過冬候鳥的飛行秀和覓食秀，探訪這些可愛又優雅的空中精靈。,0,1,0,0,0,0,121.81637,24.66537,宜蘭縣,640,宜蘭,Yilan,,,,五結鄉
