target,0nn,1nn,2nn,3nn,4nn
宏亞食品巧克力觀光工廠,巧克力雲莊,媽宮黑糖糕觀光工廠,亞典蛋糕密碼館,蕭壠文化園區,龍情‧魔幻豆子主題館
台灣金屬創意館,宏洲磁磚觀光工廠,臺灣金屬創意館,豐園北科大木創中心,台塑企業文物館,五榖文化村
長虹橋,南寮漁港,觀海長堤,中澳沙灘,石門長濱自行車道,員貝嶼
北回歸線,北回歸線標誌公園,北回歸線地標,新北投溫泉區,陽明山國家公園,桶後溪
金樽,金樽遊憩區,黃金海岸,金城海濱休閒公園,中角灣(中角灣國際衝浪基地),中角沙珠灣
加路蘭,石城服務區,宜蘭濱海自行車道,芝蘭公園(芝蘭觀景平台),奚卜蘭遊客中心(新太平洋一號店),都蘭
都蘭,加路蘭,墾丁青年活動中心,石城服務區,太平洋公園,喜樂發發森林公園
成功新港漁港,成功海洋環境教室,東港海鮮街,旗津觀光漁港,大武漁港,富基漁港
阿美族民俗中心,族群音樂館,臺東縣成功鎮原住民文物館,原住民文化會館,中正公園,太巴塱部落
紫坪,柴口浮潛區,大白沙,中寮漁港,南寮漁港,烏油窟
帆船鼻大草原,帆船鼻,牛頭山、樓門岩,南寮漁港,柴口浮潛區,中寮漁港
哈巴狗與睡美人岩,龍洞灣岬步道,海參坪,講美鎮海社區海堤公園,帆船鼻大草原,蜜月灣
牛頭山、樓門岩,牛頭山,樓門岩,南寮漁港,帆船鼻大草原,海參坪
樟原,舊樟原橋遊憩區,東河橋風景區,新店溪河濱自行車道,泰順廊橋,大浦聚落
富山漁業資源保育區,梧棲港觀光漁市,大武漁港,菜園休閒漁業區,澎湖海洋資源館,澳底漁港
柴口浮潛區,大白沙,中寮漁港,險礁嶼,南寮漁港,蛤板灣風景區
美山驛站,臺東環市自行車道(山海鐵馬道),淺水灣海濱公園,石門長濱自行車道,成功海濱公園,濱海自行車道
花蓮遊客中心,東海岸遊客服務中心,向日廣場,哈巴狗與睡美人岩,石門長濱自行車道,鼻頭角步道
秀姑巒溪遊客中心,秀姑巒溪,瑞穗泛舟服務中心,秀姑巒溪泛舟中心,崙天遊憩區,馬祖國家風景區管理處&遊客中心
八仙洞遊客中心,八仙洞,長光遺址,掃叭石柱,八通關古道,月洞遊憩區
三仙台遊客中心,成功海濱公園,鼻頭港服務區,龍洞四季灣,外澳服務區,東部海岸國家風景區管理處
小野柳遊客中心,富岡地質公園 (小野柳),藤枝國家森林遊樂區,新白楊服務站,內雙溪自然中心,大窩生態園區
綠島遊客中心,帆船鼻大草原,東部海岸國家風景區管理處,中寮漁港,都歷遊客中心,柴口浮潛區
都歷遊客中心,芝蘭公園(芝蘭觀景平台),遠雄海洋公園,太平洋公園,馬祖國家風景區管理處&遊客中心,觀音亭休憩園區
奚卜蘭遊客中心(新太平洋一號店),墾丁青年活動中心,石城服務區,加路蘭,東石漁人碼頭,芝蘭公園(芝蘭觀景平台)
鹽寮,井仔腳瓦盤鹽田,夕遊出張所,真柄部落,奇美原住民文物館,莿桐部落
成功海洋環境教室,成功新港漁港,討海文化館,旗津觀光漁港,金車生技水產養殖研發中心,中澳沙灘
成功海濱公園,美山驛站,三仙台遊客中心,北濱公園,淺水灣海濱公園,濱海自行車道
員貝嶼,險礁嶼,鳥嶼,吉貝島,中柱港,蛤板灣風景區
小白沙嶼,海參坪,南雅奇岩(南雅奇石),白沙灣海水浴場,和美漁港,網仔寮沙洲
鳥嶼,青灣玄武岩,大菓葉柱狀玄武岩,池西岩瀑,小白沙嶼,桶盤嶼
重光里˙漳水神石碑,重光里˙凌霄寶塔,青螺村˙陽明妙塔,沙港村˙大尾尖頂塔,清水岩寺,小門村˙鐵鑠石塔
重光里˙凌霄寶塔,龍門村˙石塔,沙港村˙大尾尖頂塔,安宅里˙嶼仔尖塔,青螺村˙陽明妙塔,重光里˙漳水神石碑
案山里˙平安寶塔,小門村˙鐵鑠石塔,重光里˙凌霄寶塔,青螺村˙陽明妙塔,龍門村˙石塔,安宅里˙嶼仔尖塔
