name,description,0,1,2,3,4,5
哈巴狗與睡美人岩,海參坪位於綠島東部海岸之中段的海灣，由於礁岸地形以及海水沖蝕作用，因此奇岩密佈、風景秀麗，吸引不少旅人前來探訪，走上有「小長城」之稱的步道，到觀海亭看著潔白的海浪沖刷著珊瑚裙礁月形海灣，或是眺望睡美人岩與哈巴狗岩，由綠地、沙灘、海灣、藍海組成的美景，讓人難以將目光移開，不斷讚嘆大自然的巧手，並留下片片美好的回憶。小長城步道長度：400公尺步行時間：來回約20分鐘小長城步道建在海參坪北側山坡上，沿著山稜蜿蜒而上的石階步道，遠看有如縮小版的萬里長城，走在這步道上，環顧四週美景，令人心曠神怡。而在海參坪的南方的海崖下，有一個獨立的海蝕柱，遠遠望去像是孔老夫子正面壁思過，因此名為「孔子岩」。,0,1,1,0,0,0
菓葉觀日樓,菓葉村近年來成為欣賞日出的著名去處，是湖西鄉東側一個純樸的小漁村。「菓葉」是一種植物俗稱，它的學名稱為「黃槿」，早在明朝時，這裡就有一大片茂盛菓葉林，因此成為澎湖以植物命名的村落之一。菓葉日出與西嶼落霞齊名，村內東北方的小山丘上是欣賞日出的最佳地點。每年冬至菓葉村許姓祭祖活動保留傳統的「軟筵」習俗，與舊奎壁澳村莊有密切的社群互動以及村莊內的灰窯殘跡，也增添菓葉的樸質風貌。 在這個小村落內處處是觀賞日出的好地方，不同於高山層層雲海之日出景象，晨曦中的太陽彷彿從水中彈跳而出，而映出的紅霞，投射出各種彩度的紅，對應出菓葉日出的靜謐之美。「菓葉日出」與「西嶼落霞」同為澎湖兩大勝景，若想至菓葉觀日出景觀，建議必須於前一晚查詢日出時間，預留路程時間，由於日出時間相當短，應該提早出發，免得半夜從溫暖的被窩中爬起，卻無功而返喔！玩家秘笈站在菓葉的海邊眺望東方，當太陽升起，加上光線和雲層折射關係，往往會看到疑似高山城市的海市蜃樓的影像。,0,1,1,0,0,0
龍埕,「龍埕」為一段長達600公尺內曲、南向之凝灰岩與玄武岩互層的地形地質，並經過千百萬年的海蝕作用後形成平整的海蝕平台。由於熔岩流在流動覆蓋過程受到營力互相擠壓後，形成動感十足的褶皺現象，加上不同種類的藻苔色澤強化褶皺曲線條紋的立體感。由崖錐頂上俯瞰平台，可見綠、白、灰、褐之曲線蜿蜒其上，整體看來宛若一條翻騰在藍天碧海中的蟠龍，因此得名「龍埕」。廣義的龍埕泛指該處三大片的連續海蝕平台而言，鄰近的小海蝕平台所在位置，猶如龍珠、龍頭，活靈活現，渾然生成。從高處往下望，因大浪拍擊平台邊激起之浪花，又彷彿白龍在浮游。從大獅風景區觀景台可見收全景，亦可經由涼亭旁沿著海岸人工石階道前往另一觀景台欣賞。循緩降鈄坡往下走，可抵達海蝕平台，可近距離觀察豆腐岩、壺穴等地質景觀。,0,1,1,0,0,0
天台山,海拔53公尺的天台山岡丘草原帶為望安島之最高峰，附近是澎湖著名文石產地，山四周草原平坦，偶有牛羊漫步，美景自然天成。天台山已成為眺望望安本島和對岸花嶼最佳的景點。天台山岩層主要為微輝長斑岩塊，其節理成片狀。西側海崖下有壯觀的玄武岩景觀，依循步道下至西邊海岸，可發現一處高達30公尺海蝕洞奇景，微輝長斑岩的節理之美與虎井、桶盤兩島之柱狀玄武岩景觀不同，天台山片狀交錯的節理形成美麗的「石花」。,0,1,1,0,0,0
鳳凰山莊(賽斯村),環境清幽的鳳凰山莊(賽斯村)，位在客家庄鳳林鎮西側鳳林溪上游地區，擁有露營區、烤肉場等設施，並也提供旅人住宿、購物、享用餐點，週邊青山環抱、溪水潺潺，臨近鳳凰瀑布與鳳林溪，十分適合來一趟自然生態旅遊。鳳凰山莊原本是鳳林地區的水源地，水質清澈甘甜，並擁有原始的自然風貌，伴著鳳林溪潺潺流水，跟著標示往山邊前進，可以看見秀麗的鳳凰瀑布，猶如一條銀絲帶般懸掛於10公尺高的山壁上，空氣間瀰漫著負離子，清淺的水潭冰涼透徹，是一處極富野趣的遊憩勝地，因此鳳林鎮公所早年將此區規劃為鳳凰瀑布風景區，為炎炎夏日帶來一絲沁涼。在花東縱谷國家風景區成立後，便將此地規劃為發展自然生態旅遊與心靈探索的遊憩區，利用鳳凰山莊原有的建築，增設露營區、烤肉場及其他相關設施，而賽斯村每月都有規劃各種的心靈探索活動，希望為造訪花東縱谷的旅人，提供另一種不同風格與型態的活動選擇。,0,0,1,0,0,0
瑞穗泛舟服務中心,說到花東地區的水域活動，最具知名度也最刺激的非「秀姑巒溪泛舟」莫屬了。在民國70年代，秀姑巒溪就已成為國內泛舟活動的首選之地。每到夏天泛舟旺季，從瑞穗大橋至長虹橋，全程24公里的泛舟河段上，只見一艘艘紅艷艷的橡皮艇將整段河道妝點得綺麗動人。20多處難度不一的激流與險灘，帶給泛舟遊客充滿驚險與刺激的難忘旅遊經驗，而秀姑巒溪沿途的峽谷與奇岩等自然美景，無不烙印在泛舟客的心頭，久久難以忘懷。沿著溪畔繞山而行的瑞港公路上，更有數不清的廂型車，來回穿梭於兩地之間接駁載客。東海岸國家風景區管理處在瑞穗大橋南側的秀姑巒溪畔，設立了瑞穗泛舟服務中心。在這棟仿原住民傳統建築外觀的服務中心裡，除了介紹秀姑巒溪泛舟河段的生態資源、提供遊客泛舟相關資訊、播放泛舟安全影片之外，還附設有露營區。在泛舟活動季節裡，為遊客提供最完善的服務。,0,1,1,0,0,0
羅山遊憩區,羅山遊憩區以泥火山景觀、手工豆腐、羅山瀑布聞名，來到羅山遊憩區，不僅可以親自體驗用泥火山的滷水來製作豆腐，還能到附近的羅山大魚池眺望羅山瀑布，沿著步道走則可欣賞泥火山的奇觀與特有的濱海植物，感受大自然的奧妙。羅山瀑布為海岸山脈斷層地形所形成的一個瀑布，高約120公尺，分上下兩層，水量豐沛，氣勢驚人。從遠方眺望可看見羅山瀑布猶如一道細細的銀鍊，懸掛在青翠的山壁之間，再向西眺望花東縱谷平原，羅山有機村純樸的田園風光更是一覽無遺。在羅山瀑布附近的泥火山，當地人稱為「鹽坪」，噴出來的泥漿不但含有瓦斯，同時也帶有鹹味。因此羅山村的居民們，很早就知道收集從泥火山噴出來的瓦斯做為燒水煮飯的燃料，也利用泥火山的滷水製作手工豆腐，做出來的豆腐口感綿密、紮實，成為來羅山必品嘗的一道美食。,0,0,1,0,0,0
霧鹿峽谷,"大S型的峽谷，色彩斑斕的岩壁，蜿蜒清澈的霧鹿溪湍急而下，雄偉壯闊的峽谷景觀媲美太魯閣國家公園，這裡就是南橫八景之一的霧鹿峽谷。陡峭的峽谷景致，深深吸引國外內的山林愛好者前來尋幽訪勝，走在天龍吊橋上觀賞氣勢磅礡的霧鹿峽谷，或是到霧鹿砲台了解抗日歷史，再去六口溫泉泡腳、碧山溫泉泡湯，感受山林間寧靜悠遠的氛圍。走在南橫公路上經過霧鹿峽谷時，不時可見下方溪谷岩縫中，噴出氤氳裊裊的水蒸氣，滾燙的溫泉從山壁夾縫中湧出，泉水中的礦物質在峭壁上留下黃、棕、黑、墨綠等多種色彩的水紋，猶如一幅幅渾然天成的壁畫，令人驚艷萬分。如此豐富的溫泉資源，讓人可在霧鹿峽谷中溯溪挑戰泡野溪溫泉，或者到旅館泡湯，享受冬日泡湯的樂趣。橫跨霧鹿溪的天龍吊橋，全長110公尺，寬度不到1.5公尺，連接峽谷兩側的崖壁。天龍吊橋曾是日治時期開闢的「關山越嶺古道」，從南橫公路上步行過了天龍吊橋後，沿著當地人整建出來的古道，進行一趟健行之旅。古道全長約1,089公尺，再接上南橫公路，那裡是俯看霧鹿峽谷絕佳視野的好地方。",0,0,1,0,0,0
山里車站與山里教堂,宛如與世隔絕的小小車站，坐落在三、四十幾戶的山里部落中，鮮少有人知道的山里車站，每天看著對號列車呼嘯而過，在作家劉克襄的筆下是一座「傳說中，到不了的車站」。孤寂而寧靜的山里車站，四周錯落幾處農田，在鐵路電氣化後依然服務每日為數不多的旅客，車站中的島式月台仍保持在東線鐵路拓建以前的風格，靜謐純樸的氛圍，加上作家的文章，深深吸引不少旅客與鐵道迷前往探訪這一座美麗的小車站。而在山裡車站附近的山里教堂，斑駁白色石牆的外觀，屋頂插著帶有滄桑感的紅色十字架，刻畫出歲月流淌的痕跡，如此小小一座教堂卻是當地的信仰中心，隨著山里車站爆紅，矗立在部落中的山里教堂，也變成遊客爭相拍照的景點，為安靜的山里部落帶來幾分熱鬧活潑的氣息。,1,0,1,0,0,0
鈺展苗圃（落羽松秘境）,經過網路瘋傳爆紅後的鈺展苗圃落羽松林，絕美程度不輸給雲山水，一到賞落羽松的季節時，整片金黃的落羽松林或是冬季落葉前的橘紅的景致，總是吸引大批人潮前來朝聖，欣賞猶如北國夢幻般的風景。每逢秋冬之際，鈺展苗圃的落羽松從翠綠漸漸轉黃，一大片金黃燦爛樹林倒映在波光粼粼的水中，與水裡優游的錦鯉相互輝映，為這番酷似北國風情的美景，增添幾分活潑的氣息。坐在水畔旁喝杯下午茶，欣賞這番如仙境般的落羽松林，或是餵食錦鯉與拿牧草餵牛，都能讓人度過愜意的午後，臨走前記得把垃圾隨手帶走，讓美景繼續留給其他人欣賞。,0,0,1,0,0,0
